quang.nguyen@raspberrypi:~ $ ping -6 -t 1 -I wpan0 fd31:9326:2ca1:b79e:c357:29:54a3:d428 -s 200
PING fd31:9326:2ca1:b79e:c357:29:54a3:d428(fd31:9326:2ca1:b79e:c357:29:54a3:d428) from fdaa:fb3:4d49:1:8a41:7df0:abb3:3811 wpan0: 200 data bytes
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=208 ttl=64 time=77.1 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=209 ttl=64 time=75.0 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=210 ttl=64 time=123 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=211 ttl=64 time=60.9 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=212 ttl=64 time=87.9 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=213 ttl=64 time=70.9 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=214 ttl=64 time=75.7 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=215 ttl=64 time=167 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=216 ttl=64 time=101 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=217 ttl=64 time=90.9 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=218 ttl=64 time=85.4 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=219 ttl=64 time=62.9 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=220 ttl=64 time=64.5 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=221 ttl=64 time=71.4 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=222 ttl=64 time=67.4 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=223 ttl=64 time=94.4 ms
